publishedAt,title,description
2025-06-06 19:32:19,Retail traders scooped up Tesla as Trump-Musk spat hit stock - Reuters,Retail traders scooped up Tesla as Trump-Musk spat hit stock&nbsp;&nbsp;Reuters
2025-03-19 07:00:00,Violent attacks on Tesla dealerships spike as Musk takes prominent role in Trump White House - AP News,Violent attacks on Tesla dealerships spike as Musk takes prominent role in Trump White House&nbsp;&nbsp;AP News
2025-06-05 23:09:44,Wall Street stocks end down as Tesla slumps 14% on Trump-Musk feud - Reuters,Wall Street stocks end down as Tesla slumps 14% on Trump-Musk feud&nbsp;&nbsp;Reuters
2025-03-11 07:00:00,How politics are affecting Musk’s Tesla brand - PBS,How politics are affecting Musk’s Tesla brand&nbsp;&nbsp;PBS
2024-04-23 07:00:00,"Tesla 1Q profit falls 55%, but stock jumps as company moves to speed production of cheaper vehicles - AP News","Tesla 1Q profit falls 55%, but stock jumps as company moves to speed production of cheaper vehicles&nbsp;&nbsp;AP News"
2025-05-27 07:00:00,Tesla: Sales Decline in All Three Key Markets in April - Morningstar,Tesla: Sales Decline in All Three Key Markets in April&nbsp;&nbsp;Morningstar
2025-03-11 07:00:00,Trump’s efforts to help Tesla could hurt it instead - AP News,Trump’s efforts to help Tesla could hurt it instead&nbsp;&nbsp;AP News
2025-02-25 08:00:00,Musk has lost more than $100B since December as Tesla gives up trillion-dollar company status amid sell-off - NBC News,Musk has lost more than $100B since December as Tesla gives up trillion-dollar company status amid sell-off&nbsp;&nbsp;NBC News
2024-10-24 07:00:00,Tesla adds close to $150bn in market value on best day in over a decade - The Guardian,Tesla adds close to $150bn in market value on best day in over a decade&nbsp;&nbsp;The Guardian
2024-04-17 07:00:00,Tesla wants shareholders to reinstate $56 billion Musk pay package tossed by a Delaware judge - PBS,Tesla wants shareholders to reinstate $56 billion Musk pay package tossed by a Delaware judge&nbsp;&nbsp;PBS
2024-10-18 07:00:00,U.S. opens new investigation into Tesla’s ‘Full Self-Driving’ system after fatal crash - PBS,U.S. opens new investigation into Tesla’s ‘Full Self-Driving’ system after fatal crash&nbsp;&nbsp;PBS
2025-03-03 08:00:00,Musk’s embrace of right-wing politics risks alienating customers and sinking Tesla’s stock - PBS,Musk’s embrace of right-wing politics risks alienating customers and sinking Tesla’s stock&nbsp;&nbsp;PBS
2024-10-16 07:00:00,New records show Texas judge on X case didn't sell his Tesla shares after taking the suit - NPR,New records show Texas judge on X case didn't sell his Tesla shares after taking the suit&nbsp;&nbsp;NPR
2025-01-02 08:00:00,Tesla posts its first-ever annual sales drop - CNN,Tesla posts its first-ever annual sales drop&nbsp;&nbsp;CNN
2025-03-13 07:00:00,Tesla’s Stock Still Isn’t Cheap - WSJ,Tesla’s Stock Still Isn’t Cheap&nbsp;&nbsp;WSJ
2025-06-03 15:08:08,Is Tesla Stock A Buy Or A Sell With The Robotaxi Service Launch On The Horizon? - Investor's Business Daily,Is Tesla Stock A Buy Or A Sell With The Robotaxi Service Launch On The Horizon?&nbsp;&nbsp;Investor's Business Daily
2023-04-06 07:00:00,Tesla workers shared sensitive images recorded by customer cars - Reuters,Tesla workers shared sensitive images recorded by customer cars&nbsp;&nbsp;Reuters
2025-03-10 07:00:00,Tesla’s stock defied gravity for years. Is Elon Musk’s EV party over? - Reuters,Tesla’s stock defied gravity for years. Is Elon Musk’s EV party over?&nbsp;&nbsp;Reuters
2025-02-21 08:00:00,"Tesla recalls 376,000 vehicles in US over power steering, shares drop - Reuters","Tesla recalls 376,000 vehicles in US over power steering, shares drop&nbsp;&nbsp;Reuters"
2024-07-24 07:00:00,Tesla stock tumbles after its profit plunged - CNN,Tesla stock tumbles after its profit plunged&nbsp;&nbsp;CNN
2025-06-03 20:08:00,Cathie Wood Just Sold Tesla Stock In May But Is She Going Away With The Robotaxi Launch Approaching? - Investor's Business Daily,Cathie Wood Just Sold Tesla Stock In May But Is She Going Away With The Robotaxi Launch Approaching?&nbsp;&nbsp;Investor's Business Daily
2025-02-13 08:00:00,Tesla takes Wisconsin to court over blocking it from opening dealerships in the state - WPR,Tesla takes Wisconsin to court over blocking it from opening dealerships in the state&nbsp;&nbsp;WPR
2025-04-23 07:00:00,How Tesla and other companies are dealing with tariff turmoil - PBS,How Tesla and other companies are dealing with tariff turmoil&nbsp;&nbsp;PBS
2025-03-14 07:00:00,Musk’s never been more powerful so why are Tesla shares tanking? - Al Jazeera,Musk’s never been more powerful so why are Tesla shares tanking?&nbsp;&nbsp;Al Jazeera
2024-04-05 07:00:00,Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV competition - Reuters,Exclusive: Tesla scraps low-cost car plans amid fierce Chinese EV competition&nbsp;&nbsp;Reuters
2022-09-14 07:00:00,Tesla struggles with Elon Musk’s strict return-to-office policy - CNBC,Tesla struggles with Elon Musk’s strict return-to-office policy&nbsp;&nbsp;CNBC
2025-05-16 07:00:00,Tesla Stock Rises for Fourth Week in a Row - Investopedia,Tesla Stock Rises for Fourth Week in a Row&nbsp;&nbsp;Investopedia
2025-06-06 20:55:59,"Tesla shares gain after $152 billion selloff, but Trump-Musk truce uncertain - Reuters","Tesla shares gain after $152 billion selloff, but Trump-Musk truce uncertain&nbsp;&nbsp;Reuters"
2024-04-23 07:00:00,"Tesla’s earnings plunge, but the company promises cheaper car model - CNN","Tesla’s earnings plunge, but the company promises cheaper car model&nbsp;&nbsp;CNN"
2025-03-11 07:00:00,Trump says violence against Tesla is domestic terrorism - Reuters,Trump says violence against Tesla is domestic terrorism&nbsp;&nbsp;Reuters
2024-11-11 08:00:00,Tesla options draw 'euphoric' trading as Trump win fires up stock - Reuters,Tesla options draw 'euphoric' trading as Trump win fires up stock&nbsp;&nbsp;Reuters
2025-06-06 12:10:18,Tesla's $380 billion wipeout marks biggest 2025 loss among top companies - Reuters,Tesla's $380 billion wipeout marks biggest 2025 loss among top companies&nbsp;&nbsp;Reuters
2017-05-18 07:00:00,"Tesla factory workers reveal pain, injury and stress: 'Everything feels like the future but us' - The Guardian","Tesla factory workers reveal pain, injury and stress: 'Everything feels like the future but us'&nbsp;&nbsp;The Guardian"
2021-05-17 07:00:00,Early turbulence and pulsatile flows enhance diodicity of Tesla’s macrofluidic valve - Nature,Early turbulence and pulsatile flows enhance diodicity of Tesla’s macrofluidic valve&nbsp;&nbsp;Nature
