Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,-0.9125585782115008,-0.9134524160685127,-0.9111966124861681,-0.9135492137148855,-0.9135492137148855,-1.3782081976031855
2015-01-02,-0.9126423143239001,-0.9148441723594732,-0.9163521910739072,-0.9153096918589978,-0.9153096918589978,-0.6643424152209155
2015-01-05,-0.9173315366182618,-0.9185282331296631,-0.919875169775529,-0.9204234617061813,-0.9204234617061813,-0.489529362751367
2015-01-06,-0.9198436199902413,-0.919756253386393,-0.921593695971442,-0.9197528033655671,-0.9197528033655671,-0.23099934938223168
2015-01-07,-0.9180014255174563,-0.9194287813179316,-0.9183284961992073,-0.9200043002432975,-0.9200043002432975,-1.1840647165539882
2015-01-08,-0.9182526338546544,-0.920001857437739,-0.9182425698894116,-0.920171964828451,-0.920171964828451,-1.0468707616196842
2015-01-09,-0.9204297727770365,-0.9220485578656222,-0.9211640644224638,-0.9223516044354473,-0.9223516044354473,-0.6921516096296618
2015-01-12,-0.92369548116061,-0.9250776744988894,-0.9244292641946986,-0.9248665732127506,-0.9248665732127506,-0.3211694323974797
2015-01-13,-0.9236117450482106,-0.9233584461394674,-0.9234840747869464,-0.9236929211166757,-0.9236929211166757,-0.7474227452391367
2015-01-14,-0.9333251340865314,-0.9301534915600397,-0.9325922636252857,-0.9301480076450878,-0.9301480076450878,1.2998085426288786
2015-01-15,-0.928468439567371,-0.9298260194915785,-0.9296707690922335,-0.9306510014005483,-0.9306510014005483,-0.5335147691002685
2015-01-16,-0.9306455784897532,-0.9304809636285011,-0.9299285480216204,-0.929980343059934,-0.929980343059934,-1.000367769512655
2015-01-20,-0.9288871201293676,-0.9307265676798471,-0.9313892952881465,-0.9305671691079717,-0.9305671691079717,-0.7399278634994225
2015-01-21,-0.9312317312765485,-0.9281886591492718,-0.9300144743314162,-0.9280522003306683,-0.9280522003306683,-0.8412679247059047
2015-01-22,-0.927128661768982,-0.925732618635812,-0.9267492745591812,-0.9252019023830578,-0.9252019023830578,-0.8517144587137688
2015-01-23,-0.925286467296197,-0.9255688826015813,-0.9249448220534725,-0.9253695669682113,-0.9253695669682113,-1.0479993345457417
2015-01-26,-0.9243653700598045,-0.9227853700196602,-0.9233981484771507,-0.9224354367280241,-0.9224354367280241,-1.1070613176760757
2015-01-27,-0.9229418561490161,-0.9231128420881214,-0.922109253830216,-0.9227707658983311,-0.9227707658983311,-1.2382940925394101
2015-01-28,-0.9220207589126236,-0.9240133902763901,-0.9248588957436769,-0.9264593867717094,-0.9264593867717094,-1.131629482143324
2015-01-29,-0.9248677867342003,-0.9242589943277361,-0.9259759377710204,-0.9231899273612151,-0.9231899273612151,-1.0163124793141316
2015-01-30,-0.9231930644862141,-0.9234403141565828,-0.9222811064498073,-0.9241120825795596,-0.9241120825795596,-1.172894738362754
2015-02-02,-0.9231930644862141,-0.920984273643123,-0.922109253830216,-0.9200043002432975,-0.9200043002432975,-0.8423675598646273
2015-02-03,-0.9180851616298557,-0.9163996646846645,-0.9175551594110464,-0.9158126856144585,-0.9158126856144585,-0.6464588750080069
2015-02-04,-0.9152381338082789,-0.9157447205477419,-0.9143758859486072,-0.9157288533218817,-0.9157288533218817,-1.0865444406357
2015-02-05,-0.9143170365718865,-0.9136161521027433,-0.9127432860624898,-0.9143875366406532,-0.9143875366406532,-1.0236047966825021
2015-02-06,-0.913144730998296,-0.914762304342358,-0.9145477385681985,-0.916399511662496,-0.916399511662496,-1.1043411675466042
2015-02-09,-0.916829119943866,-0.9177095529585098,-0.9171255278620681,-0.9163156793699192,-0.9163156793699192,-1.038218369186578
2015-02-10,-0.9156568143702755,-0.9163177966675491,-0.9154070016661551,-0.9169863377105334,-0.9169863377105334,-0.4831630539377102
2015-02-11,-0.9185875783042515,-0.9194287813179316,-0.9197892434657334,-0.9189144804397994,-0.9189144804397994,0.783906026584
2015-02-12,-0.9290545923541662,-0.9258144866529273,-0.9277803902767291,-0.9244474117498668,-0.9244474117498668,2.2653858769520205
2015-02-13,-0.9237792172730093,-0.9242589943277361,-0.9234840747869464,-0.9240282502869829,-0.9240282502869829,-0.25151622642260746
2015-02-17,-0.9222719672498215,-0.9244227303619668,-0.9231403695477638,-0.9236929211166757,-0.9236929211166757,-0.8914460132644542
2015-02-18,-0.9231093283738148,-0.9241771263106208,-0.9224529590693985,-0.923609088824099,-0.923609088824099,-1.2577981477230677
2015-02-19,-0.9226069116994188,-0.920738669591777,-0.9218514749008291,-0.9195851387804136,-0.9195851387804136,-0.5515719359171859
2015-02-20,-0.9194249394282448,-0.9178732889927403,-0.9183284961992073,-0.9165671762476495,-0.9165671762476495,-0.3119672223850121
2015-02-23,-0.9166616477190673,-0.9175458169242792,-0.9203048013245072,-0.9220162752651401,-0.9220162752651401,0.416598945803338
2015-02-24,-0.9213508700134291,-0.9235221821736981,-0.9229685169281725,-0.9237767534092525,-0.9237767534092525,-0.1321189983992078
2015-02-25,-0.9226906478118182,-0.9236040501908134,-0.9224529590693985,-0.9240282502869829,-0.9240282502869829,-0.9117313881661515
2015-02-26,-0.9231930644862141,-0.9214754817458148,-0.9227107379987856,-0.9221001075577169,-0.9221001075577169,-0.1699406603057961
2015-02-27,-0.9216020783506271,-0.9228672380367754,-0.922367032759603,-0.9241959148721364,-0.9241959148721364,-0.9196603364158876
2015-03-02,-0.9239466894978079,-0.9256507506186966,-0.926319643010203,-0.9275492065752076,-0.9275492065752076,0.2494254639101776
2015-03-03,-0.9272123978813812,-0.9273699789781187,-0.9266633482493857,-0.9263755544791327,-0.9263755544791327,-0.7604447405397983
2015-03-04,-0.9258726200829922,-0.9261419587213886,-0.925546306222042,-0.9246989086275971,-0.9246989086275971,-0.8213008652448902
2015-03-05,-0.9238629533854086,-0.9240952582935055,-0.9239137063359246,-0.9257048961385185,-0.9257048961385185,-0.6317584892019267
2015-03-06,-0.9258726200829922,-0.9271243749267727,-0.9284678007550943,-0.9294773493044736,-0.9294773493044736,-0.10063470753894148
2015-03-09,-0.9285521756797702,-0.9304809636285011,-0.9307018848097813,-0.931153995156009,-0.931153995156009,-0.09360283007658421
2015-03-10,-0.931901620175743,-0.9310540397483084,-0.9310455900489638,-0.9314893243263161,-0.9314893243263161,-0.42841279814026184
2015-03-11,-0.9303943701525553,-0.9295804154402325,-0.9291552112334595,-0.9295611815970503,-0.9295611815970503,-0.603428414981154
2015-03-12,-0.9288871201293676,-0.9305628316456165,-0.9298426217118247,-0.9310701628634322,-0.9310701628634322,-0.8423386220972925
2015-03-13,-0.9315666757261458,-0.9320364559536923,-0.9312174426685552,-0.9324114795446607,-0.9324114795446607,-0.47048831184506623
2015-03-16,-0.9298919534781594,-0.9297441514744631,-0.9298426217118247,-0.9284713617935522,-0.9284713617935522,-0.41420435437887326
2015-03-17,-0.9279660228929751,-0.9281886591492718,-0.9274366850375464,-0.9290581878415896,-0.9290581878415896,-0.6268101309876752
2015-03-18,-0.9282172312301731,-0.9270425069096573,-0.9279522428963204,-0.9257048961385185,-0.9257048961385185,-0.6479925766767515
2015-03-19,-0.9242816339474051,-0.924995806481774,-0.9270929797983639,-0.9285551940861289,-0.9285551940861289,0.40948025503897634
2015-03-20,-0.926877453431784,-0.9280249231150413,-0.9264914956297944,-0.9271300451123237,-0.9271300451123237,-0.8075554257608585
2015-03-23,-0.9262913006449888,-0.9272062429438879,-0.9254603799122465,-0.9262917221865559,-0.9262917221865559,-1.2815271169376066
2015-03-24,-0.9245328422846031,-0.9254051465673506,-0.924085558955516,-0.925118070090481,-0.925118070090481,-0.9868538321673016
2015-03-25,-0.9263750367573881,-0.9282705271663872,-0.9281240955159118,-0.9293096847193199,-0.9293096847193199,-0.3848035827667128
2015-03-26,-0.9288033840169683,-0.9303172275942705,-0.9298426217118247,-0.9314893243263161,-0.9314893243263161,-0.8485023665396056
2015-03-27,-0.9315666757261458,-0.9333463442275376,-0.9346544950603813,-0.9345072868590802,-0.9345072868590802,0.44701253927221657
2015-03-30,-0.9333251340865314,-0.9317089838852309,-0.9343967161309943,-0.9314054920337393,-0.9314054920337393,0.8766226331247108
2015-03-31,-0.9290545923541662,-0.9308903037140778,-0.9306159584999856,-0.9324114795446607,-0.9324114795446607,-0.5884675892690605
2015-04-01,-0.9317341479509443,-0.9317089838852309,-0.931990779456716,-0.9329983055926981,-0.9329983055926981,-0.9449808828338409
2015-04-02,-0.9308967868269511,-0.9312177757825391,-0.9296707690922335,-0.931153995156009,-0.931153995156009,-0.5931555075772987
2015-04-06,-0.9265425089821867,-0.9232765781223522,-0.9253744536024507,-0.9243635794572899,-0.9243635794572899,1.5613770215681682
2015-04-07,-0.9240304256102072,-0.924750202430428,-0.9233122221673552,-0.9242797471647132,-0.9242797471647132,-0.7848682161703725
2015-04-08,-0.9208484533390332,-0.9215573497629302,-0.9206485065636899,-0.9218486106799866,-0.9218486106799866,-0.2190769892402926
2015-04-09,-0.9206809811142345,-0.9218848218313915,-0.9204766539440986,-0.9204234617061813,-0.9204234617061813,-0.9433603678630919
2015-04-10,-0.9199273561026408,-0.9211480096773536,-0.9188440540579811,-0.9200043002432975,-0.9200043002432975,-0.8659518402424922
2015-04-13,-0.9195924116530434,-0.9204111975233156,-0.9187581277481855,-0.920591126291335,-0.920591126291335,-0.9555142301437093
2015-04-14,-0.9206809811142345,-0.9222941619169682,-0.9208203591832812,-0.9219324429725634,-0.9219324429725634,-1.1673965625691411
2015-04-15,-0.9212671339010298,-0.9222941619169682,-0.9202188750147117,-0.9216809460948331,-0.9216809460948331,-1.4780724326755927
2015-04-16,-0.9210996616762311,-0.9225397659683142,-0.920390727634303,-0.9223516044354473,-0.9223516044354473,-1.5629469042685715
2015-04-17,-0.9226069116994188,-0.9237677862250441,-0.9219374012106247,-0.9222677721428705,-0.9222677721428705,-1.328319486717984
2015-04-20,-0.9216020783506271,-0.9231947101052368,-0.9217655485910333,-0.9231899273612151,-0.9231899273612151,-1.3024491227206696
2015-04-21,-0.9221882311374222,-0.9216392177800455,-0.9215077696616464,-0.9208426231690653,-0.9208426231690653,-1.0497645383531646
2015-04-22,-0.9184201060794529,-0.9155809845135111,-0.9172973804816594,-0.9152258595664211,-0.9152258595664211,0.2323232434153087
2015-04-23,-0.9152381338082789,-0.9157447205477419,-0.9141181070192202,-0.9157288533218817,-0.9157288533218817,-0.7665506094474418
2015-04-24,-0.9139820921222891,-0.9161540606333185,-0.913688475470242,-0.9158126856144585,-0.9158126856144585,-1.3405022867659364
2015-04-27,-0.9128097865486987,-0.906329898579479,-0.9113684651057594,-0.908435443867702,-0.908435443867702,1.3347364278019864
2015-04-28,-0.906027161444354,-0.9081309949560162,-0.9079314127139332,-0.9090222699157394,-0.9090222699157394,-0.28207450872816003
2015-04-29,-0.9086229809287328,-0.9084584670244776,-0.9081032653335245,-0.9079324501122413,-0.9079324501122413,-0.9040339420550937
2015-04-30,-0.9084555087039342,-0.9095227512469768,-0.9095640126000506,-0.9115372386930427,-0.9115372386930427,-0.9110368817501162
2015-05-01,-0.9087067170411322,-0.9101776953838995,-0.9123136545135115,-0.9115372386930427,-0.9115372386930427,-0.5146473447979766
